順位,ダウンロード数,自治体名,データセット・タイトル,リソース名,データセット名,リソースid
836,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　12月　,300004_020400_kenmin_tomo_h30_event,4ec01114-d14e-447d-8232-6c1a346167c7
837,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　1月,300004_020400_kenmin_tomo_h30_event,da4a2695-317c-4862-85c3-a402b52f29ef
838,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　1月　,300004_020400_kenmin_tomo_h30_event,8d0b7589-285f-4750-8d16-1def1c891c37
839,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　2月　,300004_020400_kenmin_tomo_h30_event,c9a26ba4-45d5-4fd7-8af7-b4b73b94283a
840,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　2月　　,300004_020400_kenmin_tomo_h30_event,1fd5b469-f75b-4339-afd4-069fd3da33b2
841,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　3月　,300004_020400_kenmin_tomo_h30_event,d3771ac1-0fe1-4935-bc79-ede37dc4826e
842,31,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　3月　　,300004_020400_kenmin_tomo_h30_event,2d1cec93-fd4b-4b39-b4c1-e2976109266a
843,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）4月,300004_020400_kenmin_tomo_h29_news,2aa21c47-28e4-428b-aa1e-97a7fb9831c4
844,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h29_news,0b7a40e3-5e33-44fd-bc22-fa59495c2bf5
845,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）5月,300004_020400_kenmin_tomo_h29_news,b3c12f75-de26-4ec6-9547-6bd0438b3e72
846,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_h29_news,89758c6b-bf76-485d-9c57-3d39c2048237
847,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）6月,300004_020400_kenmin_tomo_h29_news,43a68523-948e-45ec-954c-b554d44163a5
848,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h29_news,628d5d52-a796-43fb-bd72-097076a03edf
849,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）8月,300004_020400_kenmin_tomo_h29_news,dbf7f756-df0b-4c52-8bfa-4b2474c528ed
850,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h29_news,a543ffdc-61c1-44c1-a110-94d96efb90ce
851,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）9月,300004_020400_kenmin_tomo_h29_news,6c0e4e29-39b4-4ac3-b484-e6be10ce5be0
852,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h29_news,3fc6ccfd-9dfe-405d-85df-73b57e8ac690
853,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h29_news,5ad17a7e-4423-410e-ba33-3c49be4ce2c9
854,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h29_news,1aaf79be-ce71-4dd0-a337-d0a811404b24
855,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h29_news,6b17ac42-25d8-4c13-ba38-6b50e9eaa11b
856,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h29_news,5a74af17-8e6a-4fcc-bcf8-55cb1ed077aa
857,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h29_news,5954a512-60af-4413-bd73-7080a830226e
858,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h29_news,cf8257e7-de0d-4f78-8f8f-7f21f03bd3d4
859,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　4月,300004_020400_kenmin_tomo_h29_event,8d1c2650-906b-4454-883e-71a11ab69f3d
860,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_h29_event,a5a0a453-b2c2-4c7f-93a8-cd9178901588
861,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　6月,300004_020400_kenmin_tomo_h29_event,f0d81f5f-373c-4ce2-a0ef-55587274d2fd
862,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　9月,300004_020400_kenmin_tomo_h29_event,775998a8-94cd-47b2-89ab-0886a3cb468f
863,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　12月,300004_020400_kenmin_tomo_h29_event,358f2841-984d-4d69-ad32-2dad6f4473f9
864,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　12月　,300004_020400_kenmin_tomo_h29_event,fb4d253c-5812-494d-a0c3-0a033e146a31
865,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　1月　,300004_020400_kenmin_tomo_h29_event,95575c25-d7b9-4d30-a7c0-08033d0b1e4d
866,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　2月　,300004_020400_kenmin_tomo_h29_event,80ea2ab2-e2e0-44a8-a33b-5e6bbfee9b35
867,31,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　3月　,300004_020400_kenmin_tomo_h29_event,128b3e35-ab36-42c1-a95a-5db7c71c2075
868,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h28_news,17794470-003d-42c0-a1e2-3e8af385416d
869,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h28_news,44faa950-cd1c-4df7-a152-5d9517f55667
870,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h28_news,5cd12a9f-26d0-4b30-a6be-0c27a0e82282
871,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）11月,300004_020400_kenmin_tomo_h28_news,68abef2f-c219-461e-a744-fec984526851
872,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h28_news,fd4cb8b5-973c-4e2d-b116-ec1cac36c913
873,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h28_news,ba833ebf-593b-4521-b844-7accc33989c2
874,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h28_news,4d87c7e4-f375-4dc9-bbac-4ffc7f3eace4
875,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）2月,300004_020400_kenmin_tomo_h28_news,f2f76e7f-5141-472e-ac0f-3b4b97a5401f
876,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（お知らせ）一覧,平成28年度刊行県民の友（お知らせ）3月,300004_020400_kenmin_tomo_h28_news,5135e728-c6d0-4a97-9942-4ec4a90d8c69
877,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_h28_event,1ba560fe-f0db-4477-a996-cd1e87531304
878,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　12月,300004_020400_kenmin_tomo_h28_event,2211b2da-87b0-429a-80f7-fb5d1a3de2b7
879,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　1月,300004_020400_kenmin_tomo_h28_event,7260c9f8-186b-49ab-a7b8-674d73341e8f
880,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　2月,300004_020400_kenmin_tomo_h28_event,83523a13-bbea-4e84-b6e4-c092b7833a68
881,31,和歌山県,【和歌山県】平成28年度刊行　県民の友（催し）一覧,平成28年度刊行県民の友（催し）　3月,300004_020400_kenmin_tomo_h28_event,72f4913f-d311-4811-bf72-0ad060f7f8a3
882,30,和歌山県,【和歌山県】病害虫発生予察事業年報,平成24年度農作物有害動植物発生予察事業年報,300004_hasseiyosatsu,0347ce7c-332f-4048-afc2-87d22afbf26f
883,30,和歌山県,【和歌山県】福祉保健施設一覧,2-(11)児童福祉施設等,300004_fukushishisetu,20ee795e-5d49-4ae4-8e0d-8ad38245d92c
884,30,和歌山県,【和歌山県】福祉保健施設一覧,2-(15)～(21)児童福祉施設等,300004_fukushishisetu,a9929fed-8e50-4265-af0d-af23857370bd
885,30,和歌山県,【和歌山県】福祉保健施設一覧,3-(8)(9)老人福祉施設,300004_fukushishisetu,a0d31824-fcfd-41da-b761-ac9342407a45
886,30,和歌山県,【和歌山県】福祉保健施設一覧,5-(1)～(8)障害福祉サービス等（新事業体系のサービス）,300004_fukushishisetu,dbb4b038-abc5-42a6-8a96-bc3431fee306
887,30,和歌山県,【和歌山県】福祉保健施設一覧,10-(4)～(6)医療関係施設等,300004_fukushishisetu,03cbcab7-d3dc-4dbc-9980-0bfa79fea69f
888,30,和歌山県,【和歌山県】福祉保健施設一覧,関係行政機関 4～8,300004_fukushishisetu,594c5c47-d31a-4348-8cac-d00ae4d94d72
889,30,和歌山県,【和歌山県】洪水浸水想定区域図,古座川水系 古座川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,a92cc6bc-8eb0-46af-bf65-46a354ef895b
890,30,和歌山県,【和歌山県】洪水浸水想定区域図,那智川水系 那智川浸水想定（想定最大規模）シェープファイル,300004_kasenka01,df05fb2f-1ad7-4513-b69a-31868cfcd0fd
891,30,和歌山県,【和歌山県】洪水浸水想定区域図,古座川水系 古座川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,f964efd5-4b7b-41d6-aabb-21e55a1a09f3
892,30,和歌山県,【和歌山県】洪水浸水想定区域図,那智川水系 那智川浸水想定（想定最大規模・浸水継続時間）シェープファイル,300004_kasenka01,ea1060ac-1d70-4945-8ab1-f28d9b248f0e
893,30,和歌山県,【和歌山県】市町村、一部事務組合の給与・定員管理等の状況,【令和２年度】４福利厚生事業関係,300004_010600_kyuuyoteiin,68b7e2f1-8959-4aa1-a52d-06412f8cc190
894,30,和歌山県,【和歌山県】公共工事等に関する入札結果,和歌山県公共工事等に関する入札結果　平成２４年度　（県土整備部）,300004_081100_koji_nyusatsu_kekka,e413a5d0-4fe7-4ee3-8521-216268c6e5f5
895,30,和歌山県,【和歌山県】国勢調査　時系列データ,２表　年齢3区分・男女別人口、割合その2（昭和60年）,300004_020300_kokuseichosa,1ec66c84-0192-40e9-ab43-5c912d81f40e
896,30,和歌山県,【和歌山県】平成30年度県民経済計算,主-3　県内総生産（支出側、デフレーター：連鎖方式）（実数）,300004_020300_kenminkeizai,d73e2ed7-9d27-4bd8-93d3-37e1ae8f9a36
897,30,和歌山県,【和歌山県】平成27年産業連関表（13部門）,（13部門）その他の係数,300004_020300_sangyorenkanhyo,297a5769-3303-4cca-a3fb-1f7ad73e08bd
898,30,和歌山県,【和歌山県】令和２年度版 市町村税政の概況,普通交付税の概要,300004_010600_zeiseinogaikyou,897143af-472d-42bb-ba95-2da975e99754
899,30,和歌山県,【和歌山県】平成31年度刊行　県民の友（催し）一覧,平成31年度刊行県民の友（催し）11月,300004_020400_kenmin_tomo_h31_event,15e9a78c-eed5-4269-be1e-68e9f0d5f222
900,30,和歌山県,【和歌山県】平成30年度刊行　県民の友（お知らせ）一覧,平成30年度刊行県民の友（お知らせ）1月,300004_020400_kenmin_tomo_h30_news,db99d9b1-b920-48fc-a876-ca9dd293e6b9
901,30,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　9月　,300004_020400_kenmin_tomo_h30_event,82ae2d1f-3bba-4e48-9c43-42a3897adcec
902,30,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　10月　,300004_020400_kenmin_tomo_h30_event,3dba2901-5277-464e-80f3-58ba80ad62ad
903,30,和歌山県,【和歌山県】平成30年度刊行　県民の友（催し）一覧,平成30年度刊行県民の友（催し）　10月　,300004_020400_kenmin_tomo_h30_event,cab9d1c0-3614-4227-b0b1-1091905f7eb8
904,30,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）10月,300004_020400_kenmin_tomo_h29_news,c0cf054f-5bdc-46bc-89b0-249ae44f3e84
905,30,和歌山県,【和歌山県】平成29年度刊行　県民の友（お知らせ）一覧,平成29年度刊行県民の友（お知らせ）12月,300004_020400_kenmin_tomo_h29_news,427860ee-6fe9-428c-b5e7-eb55c53703c3
906,30,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　7月,300004_020400_kenmin_tomo_h29_event,cc9658cc-2b4a-47a3-ae88-f319481465cb
907,30,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　8月,300004_020400_kenmin_tomo_h29_event,1799a9d6-9fba-4253-ae75-5f6a698ba25e
908,30,和歌山県,【和歌山県】平成29年度刊行　県民の友（催し）一覧,平成29年度刊行県民の友（催し）　10月,300004_020400_kenmin_tomo_h29_event,4d0e27e2-e63f-4b13-9fd5-085f99a5e1a6
